ID,Marca,Modelo,Precio,Anio,Kilometraje,Comustible,Transmision,Color,Motor
41,Mercedes-Benz,M-Class ML 250 CDI,140000,2014,105101,Diesel,Automatic,White,2143 cc
42,Toyota,Corolla Altis VL AT Petrol,140000,2016,45000,Petrol,Automatic,Black,1798 cc
43,Audi,A4 2.0 TDI (177bhp) Premium Plus,140000,2013,66000,Diesel,Automatic,White,1968 cc
44,Mercedes-Benz,SLK-Class SLK 200 K,80000,2010,34105,Petrol,Automatic,Grey,1796 cc
45,Hyundai,Elite i20 Asta 1.2,140000,2015,68397,Petrol,Manual,Gold,1197 cc
46,Mahindra,Thar CRDe 4x4 AC,140000,2015,65000,Diesel,Manual,White,2498 cc
47,Maruti Suzuki,Baleno Delta 1.2,200000,2019,27469,Petrol,Manual,Silver,1197 cc
48,Maruti Suzuki,Celerio VXi AMT,140000,2016,41058,Petrol,Automatic,Silver,998 cc
49,Maruti Suzuki,Ciaz VDi SHVS,140000,2016,51330,Diesel,Manual,Brown,1248 cc
50,Maruti Suzuki,Ciaz VXi,140000,2015,45969,Petrol,Manual,Silver,1373 cc
51,Hyundai,Creta SX Plus 1.6 AT CRDI,140000,2017,66602,Diesel,Automatic,Grey,1582 cc
52,Hyundai,Creta SX Plus 1.6  Petrol,140000,2016,57983,Petrol,Manual,White,1591 cc
53,Renault,Kwid 1.0 RXT AMT Opt,200000,2019,11183,Petrol,Automatic,Silver,999 cc
54,MG,Hector Sharp 2.0 Diesel [2019-2020],200000,2019,46301,Diesel,Manual,White,1956 cc
55,Tata,Tiago Revotron XZA [2017-2019],140000,2017,34867,Petrol,Automatic,Silver,1199 cc
56,Toyota,Innova 2.5 GX BS IV 7 STR,140000,2015,43634,Diesel,Manual,Silver,2494 cc
57,BMW,X3 xDrive 20d Luxury Line [2018-2020],140000,2018,9512,Diesel,Automatic,Blue,1995 cc
58,Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,200000,2020,11293,Diesel,Automatic,White,1956 cc
59,Mahindra,Scorpio SLE BS-IV,140000,2014,78000,Diesel,Manual,White,2179 cc
60,Honda,Brio S MT,140000,2016,50374,Petrol,Manual,White,1198 cc
61,BMW,3-Series 320i Luxury Line,140000,2017,15900,Petrol,Automatic,White,1998 cc
62,Honda,City V Petrol [2017-2019],140000,2017,64000,Petrol,Manual,White,1497 cc
63,Volkswagen,Polo Highline1.2L (D),140000,2013,78000,Diesel,Manual,Silver,1199 cc
64,Maruti Suzuki,Vitara Brezza ZXi Plus,200000,2021,24000,Petrol,Manual,Silver,1462 cc
65,Maruti Suzuki,Eeco 7 STR [2019-2020],200000,2019,40310,Petrol,Manual,Grey,1196 cc
66,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],140000,2015,69700,Petrol,Automatic,Blue,1197 cc
67,BMW,X3 xDrive20d,140000,2012,74073,Diesel,Automatic,Black,1995 cc
68,Toyota,Fortuner 2.8 4x2 AT [2016-2020],200000,2019,73000,Diesel,Automatic,White,2755 cc
69,Honda,Civic 1.8S MT,80000,2006,130000,Petrol,Manual,Maroon,1799 cc
70,Audi,A4 2.0 TDI (143 bhp),140000,2012,50000,Diesel,Automatic,White,No_info
71,Maruti Suzuki,Swift ZXi Plus AMT,200000,2021,24000,Petrol,Automatic,Grey,1197 cc
72,Hyundai,Elite i20 Sportz 1.5 MT Diesel,200000,2021,43000,Diesel,Manual,White,1493 cc
73,Audi,A3 35 TDI Technology + Sunroof,140000,2016,40500,Diesel,Automatic,White,1968 cc
74,Honda,City V CVT Petrol [2017-2019],140000,2017,49013,Petrol,Automatic,Grey,1497 cc
75,Ford,Figo Duratorq Diesel Titanium 1.4,140000,2013,64983,Diesel,Manual,Red,1399 cc
76,Honda,Jazz VX Petrol,140000,2017,92270,Petrol,Manual,Brown,1199 cc
77,Volkswagen,Polo Highline1.2L (P),140000,2013,65000,Petrol,Manual,White,1198 cc
78,Honda,Amaze 1.5 SX i-DTEC,140000,2014,110000,Diesel,Manual,Black,1498 cc
79,Toyota,Camry 2.5L AT,140000,2017,47000,Petrol,Automatic,Brown,2494 cc
80,Mahindra,Thar LX 4-STR Hard Top Petrol AT,200000,2022,10000,Petrol,Automatic,Black,1997 cc
81,Mercedes-Benz,C-Class 250 CDI Elegance,80000,2011,51500,Diesel,Automatic,Black,2143 cc
82,Audi,Q3 35 TDI quattro Premium Plus,140000,2018,35000,Diesel,Automatic,White,1968 cc
83,Maruti Suzuki,Baleno Sigma 1.2,140000,2017,61518,Petrol,Manual,Red,1197 cc
84,BMW,X1 sDrive20d xLine,140000,2018,34000,Diesel,Automatic,White,1995 cc
85,Maruti Suzuki,Baleno Zeta 1.2,140000,2017,36058,Petrol,Manual,Silver,1197 cc
86,Hyundai,Creta 1.6 SX Plus AT,140000,2016,88000,Diesel,Automatic,Silver,1582 cc
87,Volkswagen,Vento Comfortline Petrol,140000,2015,98112,Petrol,Manual,Brown,1598 cc
88,Mercedes-Benz,C-Class 220 BlueEfficiency,140000,2013,58000,Diesel,Automatic,Silver,2143 cc
89,Toyota,Camry Hybrid,140000,2015,92355,Petrol,Automatic,Silver,2494 cc
90,Maruti Suzuki,DZire VXi,200000,2019,16652,Petrol,Manual,White,1197 cc
91,Nissan,Terrano XV D THP 110 PS,140000,2016,76584,Diesel,Manual,White,1461 cc
92,Maruti Suzuki,Wagon R LXI CNG,140000,2015,42500,CNG,Manual,Brown,998 cc
93,Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],140000,2016,70000,Diesel,Manual,Grey,1248 cc
94,BMW,X5 xDrive30d Pure Experience (5 Seater),140000,2015,84700,Diesel,Automatic,Black,2993 cc
95,Mercedes-Benz,GLC 220 d Sport,140000,2018,83400,Diesel,Automatic,White,No_info
96,Porsche,Cayenne Coupe Platinum Edition,200000,2022,2766,Petrol,Automatic,Blue,2995 cc
97,Mercedes-Benz,C-Class Cabriolet C 300,140000,2017,56000,Petrol,Automatic,White,1991 cc
98,Hyundai,Elite i20 Magna 1.2,140000,2015,68766,Petrol,Manual,Silver,1197 cc
99,Hyundai,Verna 1.6 VTVT SX,140000,2018,16339,Petrol,Manual,Black,1591 cc
100,Honda,Amaze 1.2 SX i-VTEC,140000,2016,63882,Petrol,Manual,Bronze,1198 cc
101,Toyota,Corolla Altis 1.8 G,140000,2012,28732,Petrol,Manual,Silver,1798 cc
102,Hyundai,Elite i20 Sportz 1.2 (O),140000,2017,51349,Petrol,Manual,Red,1197 cc
103,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],140000,2014,61866,Petrol,Automatic,White,1197 cc
104,Hyundai,Creta SX Plus 1.6  Petrol,140000,2017,29401,Petrol,Manual,Grey,1591 cc
105,Audi,A6 2.0 TDI Premium,140000,2012,98580,Diesel,Automatic,White,1968 cc
106,BMW,X1 sDrive20d xLine,200000,2021,8000,Diesel,Automatic,Black,1995 cc
107,Mahindra,XUV300 W8 (O) 1.5 Diesel,200000,2020,31348,Diesel,Manual,White,1497 cc
108,Maruti Suzuki,Swift ZDi Plus,140000,2018,28851,Diesel,Manual,Blue,1248 cc
109,Honda,Brio S MT,140000,2013,38175,Petrol,Manual,Blue,No_info
110,Mahindra,Thar LX 4-STR Hard Top Petrol MT,200000,2021,8519,Petrol,Manual,Blue,1997 cc
111,Honda,City 1.5 S MT,80000,2011,78000,Petrol,Manual,Bronze,1497 cc
112,Mercedes-Benz,E-Class E 250 CDI Avantgarde,140000,2015,48000,Diesel,Automatic,White,2143 cc
113,Toyota,Fortuner 3.0 4x2 AT,140000,2014,143000,Diesel,Automatic,White,2982 cc
114,Tata,Zest XM 75 PS Diesel,140000,2017,39000,Diesel,Manual,Silver,1248 cc
115,Skoda,Rapid Ambition 1.6 MPI AT Plus,140000,2014,24000,Petrol,Automatic,Beige,1598 cc
116,Maruti Suzuki,Alto 800 Lxi,140000,2015,62000,Petrol,Manual,Maroon,796 cc
117,Maruti Suzuki,Ertiga VDi,140000,2012,78000,Diesel,Manual,White,1248 cc
118,Hyundai,Santro GL LPG,80000,2009,48500,LPG,Manual,Grey,1086 cc
119,Ford,Figo Duratorq Diesel ZXI 1.4,140000,2014,82000,Diesel,Manual,White,1399 cc
120,Audi,A3 35 TDI Technology + Sunroof,200000,2020,40910,Diesel,Automatic,White,1968 cc
121,Tata,Harrier XZ Plus,200000,2020,10290,Diesel,Manual,Red,1956 cc
122,Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,200000,2021,10530,Petrol,Automatic,Red,998 cc
123,Hyundai,Elite i20 Asta 1.2,140000,2015,61900,Petrol,Manual,Silver,1197 cc
124,Volkswagen,Polo Highline1.2L (D),140000,2013,78000,Diesel,Manual,White,1199 cc
125,Maruti Suzuki,Swift DZire VXI,140000,2014,57402,Petrol,Manual,Grey,1197 cc
126,Hyundai,Santro GL (CNG),140000,2013,57000,CNG,Manual,White,1086 cc
127,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],140000,2015,87500,Petrol,Manual,Grey,1197 cc
128,Tata,Nexon EV XZ Plus,200000,2021,16000,Electric,Automatic,White,No_info
129,Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],200000,2022,18000,Petrol,Automatic,Black,1353 cc
130,Audi,Q2 Premium Plus I 40 TFSI quattro,200000,2020,10700,Petrol,Automatic,White,1984 cc
131,Audi,Q7 45 TDI Premium Plus,140000,2018,78000,Diesel,Automatic,Black,2967 cc
132,Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,200000,2020,16282,Petrol,Automatic,White,998 cc
133,Hyundai,Verna Fluidic 1.6 CRDi SX,140000,2013,66000,Diesel,Manual,Grey,1582 cc
134,Maruti Suzuki,Wagon R VXI,140000,2017,72019,Petrol,Manual,Silver,998 cc
135,BMW,5-Series 520d Sedan,140000,2013,195000,Diesel,Automatic,White,1995 cc
136,Mahindra,Scorpio 2.6 Turbo 7 Str,80000,2007,92170,Diesel,Manual,White,2609 cc
137,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],140000,2018,55221,Petrol,Manual,White,1197 cc
138,Toyota,Fortuner 2.8 4x2 AT [2016-2020],140000,2018,25000,Diesel,Automatic,White,2755 cc
139,Maruti Suzuki,Ritz VXI BS-IV,80000,2011,58888,Petrol,Manual,Maroon,No_info
140,Audi,Q5 45 TFSI Premium Plus,200000,2022,1,Petrol,Automatic,Blue,1984 cc
141,Renault,Duster RXS 1.5 Petrol MT,200000,2020,23500,Petrol,Manual,White,1498 cc
142,Maruti Suzuki,Swift DZire VXI,140000,2012,68000,Petrol,Manual,White,1197 cc
143,Hyundai,Creta SX 1.6 AT Petrol,200000,2019,29096,Petrol,Automatic,White,1591 cc
144,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],140000,2016,61223,Petrol,Manual,White,1197 cc
145,Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],140000,2017,86000,Diesel,Manual,White,1956 cc
146,Hyundai,Verna EX 1.6 CRDi [2017-2018],140000,2013,87000,Diesel,Manual,White,1582 cc
147,Hyundai,i20 Magna 1.2,140000,2013,79287,Petrol,Manual,White,1197 cc
148,Mercedes-Benz,GLC 220 d Sport,140000,2018,47009,Diesel,Automatic,Blue,No_info
149,Audi,A6 35 TDI Matrix,140000,2018,48945,Diesel,Automatic,Black,1968 cc
150,Mahindra,Marazzo M2 8 STR,200000,2019,17000,Diesel,Manual,Green,1497 cc
151,Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],200000,2019,55000,Diesel,Manual,Silver,1493 cc
152,Maruti Suzuki,Baleno Alpha 1.2,140000,2016,38779,Petrol,Manual,Blue,1197 cc
153,Mercedes-Benz,E-Class E 220d Expression [2019-2019],200000,2019,72000,Diesel,Automatic,White,1950 cc
154,Maruti Suzuki,Ertiga ZDI + SHVS,140000,2016,67000,Diesel,Manual,White,1248 cc
155,Hyundai,Verna Fluidic 1.6 VTVT SX,140000,2017,67000,Petrol,Manual,White,1591 cc
156,Hyundai,Verna Fluidic 1.6 CRDi SX,140000,2012,70000,Diesel,Manual,White,1582 cc
157,Land Rover,Discovery Sport S,200000,2020,6000,Diesel,Automatic,White,1999 cc
158,Toyota,Fortuner 2.8 4x2 AT [2016-2020],140000,2017,46000,Diesel,Automatic,White,2755 cc
159,Mercedes-Benz,GLE 250 d,140000,2017,34000,Diesel,Automatic,Silver,2143 cc
160,Hyundai,Xcent S 1.2 (O),140000,2015,23103,Petrol,Manual,White,1197 cc
161,Mercedes-Benz,S-Class Maybach S 500,140000,2016,27000,Petrol,Automatic,Blue,4663 cc
162,Hyundai,Creta SX 1.6 AT Petrol,200000,2019,9576,Petrol,Automatic,White,1591 cc
163,MG,Hector Sharp 1.5 DCT Petrol [2019-2020],200000,2020,27000,Petrol,Automatic,Silver,1451 cc
164,MG,Astor Sharp 1.5 CVT,200000,2021,1942,Petrol,Automatic,Red,1498 cc
165,Honda,CR-V 2.4 AT,80000,2006,119300,Petrol,Automatic,Black,2354 cc
166,Maruti Suzuki,Alto 800 Lxi,140000,2016,55000,Petrol,Manual,White,796 cc
167,Renault,Duster 85 PS RxL,140000,2015,98000,Diesel,Manual,White,1461 cc
168,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],140000,2017,61400,Petrol,Manual,Grey,1197 cc
169,Honda,City V,140000,2016,87693,Petrol,Manual,Red,1497 cc
170,Mercedes-Benz,C-Class C 200 Avantgarde,140000,2015,31000,Petrol,Automatic,Blue,1991 cc
171,Hyundai,Elite i20 Asta 1.4 (O) CRDi,140000,2016,75210,Diesel,Manual,White,1396 cc
172,Skoda,Fabia Elegance 1.6 MPI,140000,2012,69000,Petrol,Manual,Silver,1598 cc
173,Skoda,Rapid 1.5 TDI CR Ambition Plus AT,140000,2014,88000,Diesel,Automatic,Black,1498 cc
174,Kia,Sonet GTX Plus 1.0 DCT [2020-2021],200000,2020,15000,Petrol,Automatic,Gold,998 cc
175,Mahindra,XUV500 W11 AT,200000,2020,45350,Diesel,Automatic,White,2179 cc
176,BMW,3-Series 320d Luxury Line,140000,2018,68189,Diesel,Automatic,Brown,1995 cc
177,Mercedes-Benz,GLA 200 CDI Sport,140000,2015,75000,Diesel,Automatic,White,2143 cc
178,Maruti Suzuki,Wagon R VXi,140000,2013,45000,Petrol,Manual,White,998 cc
179,Audi,A6 35 TDI Premium,140000,2014,33000,Diesel,Automatic,Red,1968 cc
180,Mahindra,Scorpio VLX 2WD BS-IV,140000,2014,83000,Diesel,Manual,White,2179 cc
181,BMW,5-Series 520d Sedan,140000,2012,78000,Diesel,Automatic,Black,1995 cc
182,Toyota,Fortuner 3.0 4x4 MT,140000,2014,211000,Diesel,Manual,White,2982 cc
183,Hyundai,Elite i20 Magna 1.2,140000,2015,67000,Petrol,Manual,White,1197 cc
184,Ford,Ecosport Titanium+ 1.5L TDCi,140000,2017,75000,Diesel,Manual,Grey,1498 cc
185,Audi,Q7 3.0 TDI quattro Premium Plus,140000,2014,48600,Diesel,Automatic,Blue,2967 cc
186,Mercedes-Benz,C-Class C 250 d,140000,2016,48000,Diesel,Automatic,Black,2143 cc
187,Maruti Suzuki,S-Presso VXi,200000,2020,5790,Petrol,Manual,Silver,998 cc
188,Mahindra,Scorpio S5 2WD 7 STR,140000,2018,32000,Diesel,Manual,White,2179 cc
189,MG,Hector Sharp 2.0 Diesel Turbo MT,200000,2020,65433,Diesel,Manual,Black,1956 cc
190,Maruti Suzuki,Swift VDi BS-IV,80000,2011,87230,Diesel,Manual,Silver,1248 cc
191,Maruti Suzuki,Swift ZDi,140000,2017,38258,Diesel,Manual,White,1248 cc
192,Honda,City VX (O) MT,200000,2019,56881,Petrol,Manual,Silver,1497 cc
193,Toyota,Innova 2.5 G4 7 STR,140000,2013,76000,Diesel,Manual,Grey,2494 cc
194,Renault,Duster 110 PS RxL Diesel,140000,2014,72000,Diesel,Manual,White,1461 cc
195,Audi,Q3 2.0 TDI quattro Premium,140000,2012,72000,Diesel,Automatic,White,1968 cc
196,Mercedes-Benz,M-Class 350 CDI,140000,2014,60514,Diesel,Automatic,Silver,2987 cc
197,Volvo,V40 Cross Country D3,140000,2013,71141,Diesel,Automatic,Silver,1984 cc
198,BMW,5-Series 530d M Sport [2013-2017],140000,2018,40937,Diesel,Automatic,White,2993 cc
199,Maruti Suzuki,Swift DZire VDI,140000,2013,37000,Diesel,Manual,Gold,1248 cc
200,Mahindra,Scorpio S5 2WD 7 STR,200000,2019,46000,Diesel,Manual,White,2179 cc
201,BMW,X5 xDrive 30d M Sport,140000,2015,86999,Diesel,Automatic,Yellow,2993 cc
202,Honda,City 1.5 S AT,80000,2009,70200,Petrol,Automatic,Grey,1497 cc
203,Mercedes-Benz,C-Class 200 CGI,140000,2012,64800,Petrol,Automatic,Silver,1796 cc
204,Hyundai,Creta 1.6 SX Plus AT,140000,2016,73000,Diesel,Automatic,Silver,1582 cc
205,Mercedes-Benz,E-Class E350 CDI Avantgarde,140000,2012,72000,Diesel,Automatic,White,2987 cc
206,Mercedes-Benz,M-Class ML 350 CDI,140000,2015,76345,Diesel,Automatic,White,2997 cc
207,Maruti Suzuki,Alto 800 Lxi,140000,2017,40564,Petrol,Manual,Silver,796 cc
208,Hyundai,i20 Magna 1.4 CRDI,140000,2013,98500,Diesel,Manual,Silver,1336 cc
209,Skoda,Rapid Style AT,200000,2020,46807,Petrol,Automatic,Red,999 cc
210,Tata,Nexon XMA Petrol,140000,2018,81000,Petrol,Automatic,Red,1198 cc
211,Maruti Suzuki,Swift DZire VXI,140000,2015,13716,Petrol,Manual,Silver,1197 cc
212,Maruti Suzuki,Swift DZire ZDI,140000,2014,89000,Diesel,Manual,White,1248 cc
213,Kia,Sonet GTX Plus 1.5 AT [2020-2021],200000,2021,13000,Diesel,Automatic,Red,1493 cc
214,Skoda,Rapid Monte Carlo 1.6 MPI MT,140000,2018,38000,Petrol,Manual,Red,1598 cc
215,Audi,RS5 4.2 Coupe,140000,2012,25500,Petrol,Automatic,Blue,4163 cc
216,Hyundai,Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,200000,2020,17000,Petrol,Automatic,Silver,1197 cc
217,Mercedes-Benz,R-Class R350 4MATIC,140000,2012,44724,Petrol,Automatic,White,3496 cc
218,Toyota,Innova 2.4 G 7 STR [2016-2017],200000,2020,24549,Diesel,Manual,Grey,2393 cc
219,Hyundai,Creta SX Plus 1.6 AT CRDI,140000,2017,97000,Diesel,Automatic,Silver,1582 cc
220,Toyota,Fortuner 2.8 4x2 AT [2016-2020],140000,2018,7800,Diesel,Automatic,White,2755 cc
221,Honda,City 1.5 S MT,80000,2010,78000,Petrol,Manual,White,1497 cc
222,Renault,Kwid RXT Opt,200000,2019,55000,Petrol,Manual,Silver,799 cc
223,Audi,A6 2.0 TFSi Technology Pack,200000,2021,20000,Petrol,Automatic,White,1984 cc
224,Tata,Safari XZA Plus 6S Adventure New,200000,2021,13594,Diesel,Automatic,Blue,1956 cc
225,Audi,A6 2.0 TDI Premium,140000,2014,75000,Diesel,Automatic,White,1968 cc
226,Maruti Suzuki,Ritz Vdi BS-IV,80000,2011,65000,Diesel,Manual,Silver,1248 cc
227,Honda,Brio EX MT,140000,2014,43037,Petrol,Manual,Silver,1198 cc
228,Maruti Suzuki,Swift ZDi,140000,2013,26000,Diesel,Manual,White,1248 cc
229,Mahindra,Scorpio S9 2WD 7 STR,200000,2020,78000,Diesel,Manual,White,2179 cc
230,Toyota,Innova 2.8 GX AT 7 STR [2016-2020],140000,2018,115000,Diesel,Automatic,Beige,2755 cc
231,Honda,Amaze VX CVT 1.2 Petrol,200000,2021,8700,Petrol,Automatic,Brown,1199 cc
232,Mercedes-Benz,GLE 250 d,200000,2019,31000,Diesel,Automatic,Grey,2143 cc
233,Jeep,Compass Longitude Plus 2.0 Diesel 4x4 AT,200000,2020,41736,Diesel,Automatic,Grey,1956 cc
234,Maserati,Levante Diesel,140000,2017,40000,Diesel,Automatic,White,2979 cc
235,Toyota,Fortuner 2.8 4x2 AT [2016-2020],200000,2020,55000,Diesel,Automatic,Black,2755 cc
236,Porsche,Cayenne Turbo,140000,2014,160000,Petrol,Automatic,Blue,4806 cc
237,Toyota,Innova GX 2.4 AT 7 STR,200000,2022,11000,Diesel,Automatic,Black,2393 cc
238,BMW,X5 xDrive 30d,140000,2018,24690,Diesel,Automatic,Blue,2993 cc
239,Toyota,Fortuner 3.0 MT,80000,2011,117000,Diesel,Manual,White,2982 cc
240,Audi,Q7 35 TDI Premium + Sunroof,140000,2014,95000,Diesel,Automatic,White,2967 cc
241,Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],200000,2019,76000,CNG,Manual,White,998 cc
242,Maruti Suzuki,Alto VXi (O),140000,2018,18000,Petrol,Manual,Silver,998 cc
243,Maruti Suzuki,Ciaz VXi (O),140000,2015,38000,Petrol,Manual,Gold,1373 cc
244,Maruti Suzuki,Swift VDi AMT [2018-2019],140000,2018,43000,Diesel,Automatic,Red,1248 cc
245,Hyundai,Verna Fluidic 1.6 CRDi SX,140000,2013,107000,Diesel,Manual,White,1582 cc
246,Mercedes-Benz,C-Class C 43 AMG,200000,2021,13000,Petrol,Automatic,Red,2996 cc
247,Mercedes-Benz,E-Class E250 CDI BlueEfficiency,80000,2011,85000,Diesel,Automatic,White,2143 cc
248,Tata,Nexon XZA Plus Petrol,140000,2018,8922,Petrol,Automatic,Red,1198 cc
249,Maruti Suzuki,Alto 800 Vxi,140000,2013,47800,Petrol,Manual,Red,796 cc
250,Mahindra,XUV500 W8,140000,2012,143000,Diesel,Manual,Silver,2179 cc
251,Tata,Harrier XZ [2019-2020],200000,2019,68758,Diesel,Manual,White,1956 cc
252,Honda,Mobilio S Diesel,140000,2015,72000,Diesel,Manual,White,1498 cc
253,Tata,Punch Creative iRA Pack MT,200000,2022,7500,Petrol,Manual,White,1199 cc
254,Maruti Suzuki,Wagon R VXi,140000,2012,37000,Petrol,Manual,Brown,998 cc
255,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],140000,2016,22402,Petrol,Manual,Grey,1197 cc
256,Honda,City V,200000,2019,12382,Petrol,Manual,Maroon,1497 cc
257,Maruti Suzuki,Baleno Alpha 1.3,140000,2017,61000,Diesel,Manual,Orange,1248 cc
258,Jaguar,F-Pace Prestige,140000,2018,90868,Diesel,Automatic,Blue,1999 cc
259,BMW,X5 xDrive30d Pure Experience (5 Seater),140000,2015,84700,Diesel,Automatic,Black,2993 cc
260,Land Rover,Range Rover Sport SE 2.0 Petrol,200000,2022,22010,Petrol,Automatic,White,1997 cc
261,Toyota,Fortuner 3.0 4x4 AT,140000,2015,72000,Diesel,Automatic,Black,2982 cc
262,Renault,Kwid 1.0 RXT Edition,140000,2018,75500,Petrol,Manual,Blue,999 cc
263,BMW,X1 sDrive20d Expedition,140000,2018,25000,Diesel,Automatic,White,1995 cc
264,Audi,Q3 35 TDI quattro Premium Plus,140000,2018,38000,Diesel,Automatic,Red,1968 cc
265,Maruti Suzuki,Wagon R LXi Minor,80000,2009,39586,Petrol,Manual,Red,1061 cc
266,Hyundai,Elite i20 Asta 1.2 AT,140000,2018,33647,Petrol,Automatic,Red,1197 cc
267,BMW,3-Series 320d,140000,2012,75576,Diesel,Automatic,White,No_info
268,Mahindra,XUV500 W10,140000,2016,86000,Diesel,Manual,White,2179 cc
269,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],140000,2018,57847,Petrol,Manual,Grey,1197 cc
270,Maruti Suzuki,Swift DZire VXI,140000,2016,74000,Petrol,Manual,White,1197 cc
